Mahalle,listing_count,mean_price,median_price,price_q1,price_q3,median_price_per_gross_m2,median_gross_m2,price_iqr
Güzelyalı Mh.,47,5364553.191489362,4999000.0,4525000.0,6125000.0,55454.545454545456,100.0,1600000.0
Balaç Mh.,52,4178038.4615384615,4425000.0,3500000.0,4808750.0,34017.857142857145,130.0,1308750.0
Atakent Mh.,267,4419370.779026217,4350000.0,3225000.0,5500000.0,34210.52631578947,145.0,2275000.0
Büyükkolpınar Mh.,22,4117863.6363636362,4180000.0,2831250.0,4750000.0,32472.76688453159,137.5,1918750.0
Mimarsinan Mah.,26,4431923.076923077,3950000.0,3012500.0,5575000.0,30678.321678321678,147.5,2562500.0
Mevlana Mah.,58,3819706.896551724,3825000.0,2600000.0,4662500.0,34629.57746478873,120.0,2062500.0
Küçükkolpınar Mh.,73,3484671.2328767125,3350000.0,2500000.0,4150000.0,32083.333333333332,110.0,1650000.0
Cumhuriyet Mah.,69,3651434.782608696,3250000.0,2700000.0,4350000.0,29200.0,130.0,1650000.0
Atatepe,41,3584512.1951219514,3100000.0,2375000.0,4000000.0,32631.57894736842,120.0,1625000.0
İstiklal Mh.,66,3481060.606060606,3020000.0,2250000.0,4612500.0,35150.19379844961,98.0,2362500.0
Yenimahalle Mah.,414,3397589.3695652173,2950000.0,2250000.0,4250000.0,37177.27272727272,85.0,2000000.0
Esenevler Mah.,57,3331105.263157895,2850000.0,2250000.0,3770000.0,33571.42857142857,100.0,1520000.0
Alanlı Mh.,111,3105567.5675675673,2600000.0,1995000.0,4025000.0,35000.0,77.0,2030000.0
İncesu Mh.,22,2232454.5,2200000.0,1962500.0,2399999.75,40357.142857142855,55.0,437499.75
Körfez Mh.,338,2444301.340236686,2125000.0,1900000.0,2622500.0,37500.0,55.0,722500.0
Çakırlar Yalı Mh.,22,2195909.090909091,2100000.0,1876250.0,2587500.0,37840.90909090909,55.0,711250.0
İncesu Yalı Mh.,54,2206425.925925926,2100000.0,1892500.0,2337500.0,38436.04651162791,55.0,445000.0
Büyükoyumca Mh.,105,2398133.3333333335,2000000.0,1820000.0,2500000.0,36500.0,55.0,680000.0
