feature,mae_increase_mean,mae_increase_std
Net m²,169687.06102949838,8583.472413883366
Brüt m²,155225.34147122139,8103.540931512204
Oda Sayısı Numeric,127748.6469839573,9139.225407961654
Banyo Sayısı,89787.5350387781,7912.8692507911865
Mahalle,78151.93031752475,11445.203002458833
Balkon,34235.889268633364,7616.076985183747
Bina Yaşı Ortalama,32025.2173368056,7180.486583074275
Bulunduğu Kat (Dönüştürülmüş),30647.030353971622,7456.691726326192
Mutfak,17799.8647239707,5744.126758167484
Kat Sayısı Numeric,14303.461127745783,5531.802831662613
Isıtma,13599.670618677796,2686.4620790899053
Kimden,8629.110700833991,2381.3132549955135
Otopark,4232.352741359411,4163.077168709008
Kullanım Durumu,1900.6691535701743,2433.7663035294563
Eşyalı,1731.0331887279676,1751.5171640662086
Tapu Durumu,1696.9217417734055,2604.020707702165
Aidat (TL) Numeric,1572.2952043892583,1552.404058027345
İlan Günü,658.158860583875,1886.529041290837
Site İçerisinde,-408.8075332453746,1112.8094887951943
Asansör,-937.4300227505853,923.3652507139875
Takas,-1319.513609292106,2139.652603353205
Krediye Uygun,-2526.2440907691876,2420.9977810733562
