variable,count,missing,mean,std,min,25%,50%,75%,max,variance,iqr,skewness
Fiyat (TL),1922.0,0,3372224.6873048907,1508586.0015759743,925000.0,2150000.0,2900000.0,4300000.0,8250000.0,2275831724150.9854,2150000.0,0.9473004186875063
Brüt m²,1922.0,0,96.30332986472425,46.14779551692332,38.0,55.0,80.0,140.0,275.0,2129.619031071768,85.0,0.6720699185792125
Net m²,1922.0,0,84.99167533818938,41.840329264287504,30.0,49.0,70.0,125.0,250.0,1750.613152943993,76.0,0.6726932946869697
Banyo Sayısı,1922.0,0,1.3579604578563995,0.49448978589807163,1.0,1.0,1.0,2.0,3.0,0.2445201483575207,1.0,0.7732378860998609
Bina Yaşı Ortalama,1922.0,0,2.902185223725286,4.775687321424504,0.0,0.0,0.0,4.0,18.0,22.807189392014756,4.0,1.7108026078985266
Bulunduğu Kat (Dönüştürülmüş),1922.0,0,2.7065556711758583,1.880957119900481,-3.0,1.0,2.0,4.0,8.0,3.5379996869043127,3.0,0.528693830266172
Oda Sayısı Numeric,1922.0,0,2.8657648283038504,0.9651305634628595,2.0,2.0,3.0,4.0,7.0,0.9314770045301368,2.0,0.7160063594214442
Kat Sayısı Numeric,1922.0,0,5.288761706555671,1.4864890827936676,1.0,4.0,5.0,6.0,9.0,2.2096497932647594,2.0,0.6310407406602664
Aidat (TL) Numeric,764.0,1158,262.96465968586386,286.88873829352,0.0,100.0,200.0,300.0,3000.0,82305.14815964781,200.0,4.16143121919574
Brüt m² Başına Fiyat,1922.0,0,37073.699047423295,10322.799182083192,10014.814814814816,30896.915584415583,36043.55716878403,41865.433673469386,108750.0,106560182.95361741,10968.518089053803,1.2443801674767834
