Fiyat (TL),Mahalle,İlan No,İlan Tarihi,Brüt m²,Net m²,Oda Sayısı,Kat Sayısı,Isıtma,Banyo Sayısı,Mutfak,Balkon,Asansör,Otopark,Eşyalı,Kullanım Durumu,Site İçerisinde,Site Adı,Aidat (TL),Krediye Uygun,Tapu Durumu,Kimden,Takas,Bina Yaşı Ortalama,Bulunduğu Kat (Dönüştürülmüş),Oda Sayısı Numeric,Kat Sayısı Numeric,_Kaynak Satır,İlan Kimliği,İlan Tarihi Parsed,Aidat (TL) Numeric,Reddetme Nedeni,İlan Günü,Brüt m² Başına Fiyat
7250000,Esenevler Mah.,1180185450,23 Haziran 2024,154,140,3+1,7,Kombi (Doğalgaz),2,Kapalı,Var,Var,Açık & Kapalı Otopark,Hayır,Mülk Sahibi,Hayır,,700,Evet,Müstakil Tapulu,Sahibinden,Evet,13.0,1,4,7,2240,1180185450,2024-06-23,700,,0.0,47077.92207792208
3550000,Mevlana Mah.,1189865148,08 Ağustos 2024,145,135,3+1,9,Kombi (Doğalgaz),2,Kapalı,Var,Var,Açık Otopark,Belirtilmemiş,Mülk Sahibi,Hayır,,250,Belirtilmemiş,Kat Mülkiyetli,Sahibinden,Evet,13.0,1,4,9,1391,1189865148,2024-08-08,250,,46.0,24482.758620689656
2100000,Çakırlar Yalı Mh.,1235729042,20 Mart 2025,55,50,1+1,4,Kombi (Doğalgaz),1,Açık (Amerikan),Var,Var,Açık Otopark,Hayır,Boş,Hayır,,,Evet,Kat Mülkiyetli,Sahibinden,Evet,0.0,3,2,4,506,1235729042,2025-03-20,,,270.0,38181.818181818184
1800000,Körfez Mh.,1237498185,01 Nisan 2025,55,45,1+1,7,Yerden Isıtma,1,Açık (Amerikan),Var,Var,Açık Otopark,Hayır,Boş,Hayır,,50,Evet,Kat Mülkiyetli,Sahibinden,Evet,0.0,4,2,7,182,1237498185,2025-04-01,50,,282.0,32727.272727272728
1490000,İstiklal Mh.,1214639884,03 Nisan 2025,50,40,1+1,4,Kombi (Doğalgaz),1,Açık (Amerikan),Yok,Var,Açık Otopark,Hayır,Boş,Hayır,Belirtilmemiş,Belirtilmemiş,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,3.0,0,2,4,26,1214639884,2025-04-03,,,284.0,29800.0
1500000,Körfez Mh.,1226244242,03 Nisan 2025,46,43,1+1,3,Yerden Isıtma,1,Açık (Amerikan),Var,Var,Açık Otopark,Hayır,Boş,Hayır,Belirtilmemiş,0,Evet,Kat Mülkiyetli,Emlak Ofisinden,Evet,0.0,0,2,3,33,1226244242,2025-04-03,0,,284.0,32608.695652173912
1595000,Körfez Mh.,1232463318,03 Nisan 2025,58,50,1+1,3,Yerden Isıtma,1,Açık (Amerikan),Var,Var,Açık & Kapalı Otopark,Hayır,Boş,Hayır,Belirtilmemiş,Belirtilmemiş,Evet,Kat Mülkiyetli,Emlak Ofisinden,Evet,0.0,1,2,3,51,1232463318,2025-04-03,,,284.0,27500.0
1750000,Körfez Mh.,1143601744,03 Nisan 2025,65,55,1+1,6,Kombi (Doğalgaz),1,Açık (Amerikan),Var,Var,Açık Otopark,Hayır,Boş,Hayır,Belirtilmemiş,Belirtilmemiş,Evet,Kat İrtifaklı,Emlak Ofisinden,Evet,0.0,2,2,6,135,1143601744,2025-04-03,,,284.0,26923.076923076922
1850000,Balaç Mh.,1189037602,03 Nisan 2025,135,125,3+1,5,Kombi (Doğalgaz),2,Açık (Amerikan),Var,Var,Açık Otopark,Hayır,Kiracılı,Hayır,Belirtilmemiş,Belirtilmemiş,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,4.0,0,4,5,216,1189037602,2025-04-03,,,284.0,13703.703703703704
1945000,Körfez Mh.,1237932896,03 Nisan 2025,45,40,1+1,5,Kombi (Doğalgaz),1,Açık (Amerikan),Var,Var,Açık Otopark,Evet,Boş,Hayır,Belirtilmemiş,Belirtilmemiş,Hayır,Kat Mülkiyetli,Emlak Ofisinden,Hayır,1.0,1,2,5,324,1237932896,2025-04-03,,,284.0,43222.22222222222
1950000,Körfez Mh.,1183828834,03 Nisan 2025,50,45,1+1,5,Kombi (Doğalgaz),1,Açık (Amerikan),Var,Var,Açık Otopark,Hayır,Boş,Hayır,Belirtilmemiş,Belirtilmemiş,Evet,Kat Mülkiyetli,Emlak Ofisinden,Hayır,0.0,1,2,5,340,1183828834,2025-04-03,,,284.0,39000.0
2040000,Körfez Mh.,1225224422,03 Nisan 2025,52,45,1+1,4,Kombi (Doğalgaz),1,Açık (Amerikan),Var,Var,Açık Otopark,Hayır,Boş,Hayır,Belirtilmemiş,400,Evet,Müstakil Tapulu,Emlak Ofisinden,Hayır,0.0,4,2,4,446,1225224422,2025-04-03,400,,284.0,39230.769230769234
2650000,Çakırlar Yalı Mh.,1232509718,03 Nisan 2025,85,75,2+1,4,Kombi (Doğalgaz),1,Açık (Amerikan),Var,Var,Açık Otopark,Hayır,Boş,Hayır,Belirtilmemiş,Belirtilmemiş,Evet,Kat Mülkiyetli,Emlak Ofisinden,Evet,0.0,3,3,4,968,1232509718,2025-04-03,,,284.0,31176.470588235294
